Date : 2026-06-12 15:42:09
Directory : /Volumes/ROG ESD/Git/fdp-neo/server/src
Total : 111 files,  13397 codes, 5456 comments, 3407 blanks, all 22260 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Python   |        111 |     13,397 |      5,456 |      3,407 |     22,260 |
+----------+------------+------------+------------+------------+------------+
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/autocomplete.py           | Python   |        152 |         61 |         41 |        254 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/containment.py            | Python   |        115 |         39 |         26 |        180 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/dashboard.py              | Python   |        231 |        107 |         47 |        385 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/etag.py                   | Python   |          9 |         20 |          8 |         37 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/events.py                 | Python   |         34 |         44 |         18 |         96 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/extensions.py             | Python   |        273 |         78 |         37 |        388 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/graphs.py                 | Python   |         27 |          9 |          4 |         40 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/instances.py              | Python   |        170 |         52 |         50 |        272 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/labels.py                 | Python   |        197 |        141 |         60 |        398 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/ldp/__init__.py           | Python   |         10 |         11 |          3 |         24 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/ldp/negotiation.py        | Python   |        129 |         46 |         31 |        206 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/ldp/router.py             | Python   |        434 |         96 |         58 |        588 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/licenses.py               | Python   |        285 |         69 |         59 |        413 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/lifecycle.py              | Python   |        235 |         69 |         55 |        359 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/meta.py                   | Python   |        169 |         53 |         37 |        259 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/openapi.py                | Python   |        195 |         76 |         51 |        322 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/patch.py                  | Python   |         24 |         51 |         13 |         88 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/policies.py               | Python   |        268 |         79 |         60 |        407 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/profiles/__init__.py      | Python   |         91 |         17 |          4 |        112 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/profiles/applier.py       | Python   |        301 |        144 |         55 |        500 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/profiles/iri.py           | Python   |         62 |         68 |         27 |        157 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/metadata/profiles/licenses.py      | Python   |         37 |         14 |         13 |         64 |
